Wall time,Step,Value
1621930293.9329987,0,36.29999923706055
1621930384.7474754,1,42.209999084472656
1621930475.5645955,2,50.11000061035156
1621930566.5132113,3,58.16999816894531
1621930657.5043757,4,52.16999816894531
1621930748.3454678,5,56.63999938964844
1621930839.166539,6,63.08000183105469
1621930930.1828573,7,58.66999816894531
1621931021.0132232,8,53.7599983215332
1621931111.894897,9,68.70999908447266
1621931202.7742817,10,72.01000213623047
1621931293.7910466,11,70.6500015258789
1621931384.690001,12,76.72000122070312
1621931475.5520396,13,74.1500015258789
1621931566.248956,14,65.62999725341797
1621931657.0528839,15,79.5199966430664
1621931748.2591064,16,76.80999755859375
1621931839.3220747,17,74.94999694824219
1621931930.1367004,18,78.80999755859375
1621932020.8779855,19,73.70999908447266
1621932111.8751278,20,77.12999725341797
1621932202.8831031,21,81.3499984741211
1621932294.197895,22,77.16999816894531
1621932385.2890313,23,78.37999725341797
1621932476.2157326,24,80.23999786376953
1621932567.1613235,25,83.16000366210938
1621932658.2503483,26,81.58000183105469
1621932749.0391788,27,82.16999816894531
1621932839.9070232,28,79.16999816894531
1621932930.8666477,29,80.2300033569336
1621933021.7390962,30,81.30999755859375
1621933112.6774774,31,79.7300033569336
1621933203.499294,32,83.4000015258789
1621933294.4599369,33,84.05000305175781
1621933385.451718,34,79.52999877929688
1621933476.422944,35,82.0199966430664
1621933567.2024086,36,82.41000366210938
1621933658.0976477,37,82.33000183105469
1621933748.9476757,38,85.41000366210938
1621933839.9810517,39,80.2699966430664
1621933930.8110042,40,82.44000244140625
1621934021.829254,41,83.63999938964844
1621934112.8384736,42,81.06999969482422
1621934203.641082,43,85.9800033569336
1621934294.4377308,44,81.9000015258789
1621934385.4462879,45,81.41999816894531
1621934476.3848524,46,84.66000366210938
1621934567.3865309,47,82.91000366210938
1621934658.2766807,48,84.41000366210938
1621934749.0757885,49,77.58999633789062
1621934840.0139036,50,81.94999694824219
1621934930.7020695,51,82.6500015258789
1621935021.5088887,52,83.38999938964844
1621935112.4823875,53,84.80999755859375
1621935203.2381558,54,87.01000213623047
1621935294.1910186,55,82.80999755859375
1621935384.9986393,56,79.88999938964844
1621935475.9885387,57,84.55000305175781
1621935566.7243326,58,84.4000015258789
1621935657.3947105,59,86.61000061035156
1621935748.0799177,60,83.29000091552734
1621935838.9435947,61,87.30999755859375
1621935929.8773644,62,82.38999938964844
1621936020.4181423,63,88.44000244140625
1621936111.3962846,64,87.38999938964844
1621936202.17678,65,87.95999908447266
1621936293.1386075,66,83.30000305175781
1621936383.8763142,67,84.27999877929688
1621936474.6276295,68,86.01000213623047
1621936565.2384253,69,87.41000366210938
1621936656.0676162,70,79.52999877929688
1621936747.0105512,71,86.2300033569336
1621936837.761215,72,75.56999969482422
1621936928.6590488,73,84.4800033569336
1621937019.5856187,74,84.1500015258789
1621937110.2852502,75,87.66999816894531
1621937201.1512563,76,83.20999908447266
1621937291.9522274,77,86.41999816894531
1621937382.748808,78,85.26000213623047
1621937473.564167,79,88.72000122070312
1621937564.35201,80,85.86000061035156
1621937655.16956,81,87.80000305175781
1621937745.9317758,82,83.69000244140625
1621937836.8615975,83,85.23999786376953
1621937927.5877297,84,88.18000030517578
1621938018.1739504,85,87.19999694824219
1621938108.9236975,86,86.25
1621938199.6580548,87,84.51000213623047
1621938290.4931319,88,88.4800033569336
1621938381.2601235,89,89.0
1621938472.0786402,90,88.52999877929688
1621938562.7372055,91,87.29000091552734
1621938653.512966,92,89.22000122070312
1621938744.278957,93,88.2300033569336
1621938834.8565724,94,87.87999725341797
1621938925.3930655,95,88.47000122070312
1621939016.1111388,96,85.56999969482422
1621939106.9915292,97,85.7699966430664
1621939197.6913688,98,89.8499984741211
1621939288.5316875,99,86.33999633789062
1621939379.451176,100,90.4000015258789
1621939470.4714692,101,87.56999969482422
1621939561.2249331,102,89.41000366210938
1621939652.1013827,103,88.37000274658203
1621939742.7525778,104,89.19999694824219
1621939833.629487,105,89.95999908447266
1621939924.381695,106,89.08000183105469
1621940015.1407712,107,88.19000244140625
1621940105.8807232,108,89.25
1621940196.7613132,109,86.69999694824219
1621940287.4311686,110,88.30999755859375
1621940378.2291794,111,89.5
1621940469.1810412,112,87.5
1621940559.8575613,113,88.55000305175781
1621940650.5935326,114,86.58999633789062
1621940741.5139596,115,89.56999969482422
1621940832.2399025,116,90.9000015258789
1621940923.046376,117,90.70999908447266
1621941013.818954,118,91.45999908447266
1621941104.42999,119,89.95999908447266
1621941194.967253,120,90.08999633789062
1621941285.5613363,121,89.58000183105469
1621941376.4126916,122,91.7300033569336
1621941467.1756017,123,91.44000244140625
1621941558.0590718,124,90.3499984741211
1621941648.9002712,125,91.5999984741211
1621941739.5781314,126,91.41999816894531
1621941830.3181264,127,91.45999908447266
1621941921.1855857,128,91.01000213623047
1621942011.8127635,129,90.8499984741211
1621942102.5124528,130,91.80999755859375
1621942193.3628654,131,92.19000244140625
1621942284.1722102,132,92.08000183105469
1621942374.8681746,133,89.20999908447266
1621942465.5381932,134,92.66999816894531
1621942556.2149973,135,93.19999694824219
1621942646.981934,136,90.4000015258789
1621942737.9234495,137,90.45999908447266
1621942828.7695909,138,91.7699966430664
1621942919.6117,139,92.87999725341797
1621943010.3271692,140,91.69999694824219
1621943101.2227716,141,92.69000244140625
1621943192.114128,142,92.8499984741211
1621943282.791748,143,93.22000122070312
1621943373.6640053,144,93.33000183105469
1621943464.5447521,145,92.76000213623047
1621943555.044482,146,92.91000366210938
1621943645.6996887,147,92.7300033569336
1621943736.6418371,148,93.88999938964844
1621943827.5541523,149,92.93000030517578
1621943918.2533033,150,93.4000015258789
1621944009.0797563,151,93.52999877929688
