Wall time,Step,Value
1619404350.0163198,0,2.1400561332702637
1619404360.6847785,0,1.8193005323410034
1619404375.3882344,0,1.8295061588287354
1619404388.1093228,0,1.7741705179214478
1619404389.0249403,0,1.7237939834594727
1619404397.0760825,0,1.5867273807525635
1619404404.302013,0,1.6515171527862549
1619404404.720229,0,1.6236883401870728
1619404406.3679261,0,1.73045814037323
1619404447.029932,1,1.3654916286468506
1619404459.3612344,1,1.3850500583648682
1619404468.30653,1,1.3435659408569336
1619404469.7356899,1,1.4530891180038452
1619404479.2871966,1,1.334518313407898
1619404481.9852433,1,1.2414523363113403
1619404495.886747,1,1.233258843421936
1619404497.549819,1,1.4666709899902344
1619404521.4517763,2,1.297279953956604
1619404527.2809114,2,1.3127532005310059
1619404563.4200752,2,1.287190556526184
1619404574.3266165,2,1.1405493021011353
1619404582.2851348,2,1.1780743598937988
1619404604.131601,3,1.2622666358947754
1619404620.921667,3,1.0424954891204834
1619404631.9205682,3,1.128481388092041
1619404632.5442047,3,1.116162657737732
1619404635.4640527,3,0.8226535320281982
1619404636.2913623,3,1.0710173845291138
1619404646.1607335,3,1.0795539617538452
1619404647.539755,3,0.966646134853363
1619404656.5656803,3,0.7996412515640259
1619404680.7804449,3,0.7779772281646729
1619404715.7021585,4,0.8392831683158875
1619404724.838392,4,0.9738574624061584
1619404725.4783857,4,0.6694048047065735
1619404747.7886536,4,0.8486875295639038
1619404754.7523005,4,0.6943489909172058
1619404763.140082,4,0.909992516040802
1619404794.0863347,5,0.6744948029518127
1619404806.0833836,5,0.7215903401374817
1619404827.2882085,5,0.8499404788017273
1619404840.7346478,5,0.8542792201042175
1619404850.33361,5,0.7344226837158203
1619404873.6297011,6,0.5922369956970215
1619404883.6590617,6,0.6896398067474365
1619404893.470269,6,0.6089171171188354
1619404893.6739607,6,0.5806810855865479
1619404896.1676624,6,0.7009802460670471
1619404903.2443693,6,0.686956524848938
1619404934.9940302,6,0.555305004119873
1619404952.7112887,7,0.7793040871620178
1619404999.5210783,7,0.5862619876861572
1619405014.295249,7,0.7147984504699707
1619405046.3254857,8,0.4336508512496948
1619405060.879871,8,0.5065867900848389
1619405064.0328639,8,0.6396628022193909
1619405064.2305677,8,0.43229764699935913
1619405076.1907144,8,0.6842049360275269
1619405146.8937654,9,0.4448666274547577
1619405147.2881382,9,0.43621277809143066
1619405157.6512272,9,0.3865409195423126
1619405172.525845,9,0.38000741600990295
1619405187.506194,9,0.5408424735069275
1619405188.963956,9,0.6501381397247314
1619405217.3132977,10,0.4658512473106384
1619405223.1922004,10,0.37672188878059387
1619405239.4964976,10,0.6229244470596313
1619405252.4817936,10,0.34333300590515137
1619405272.7510319,10,0.46397989988327026
1619405280.2383647,10,0.37225332856178284
1619405304.0516975,11,0.5644803047180176
1619405321.3111055,11,0.5877795815467834
1619405340.2263346,11,0.5958896279335022
1619405343.6750846,11,0.3401811122894287
1619405376.698407,11,0.5030239820480347
1619405378.4095345,11,0.535187840461731
1619405407.85463,12,0.4643072485923767
1619405410.5976,12,0.352725088596344
1619405445.2490711,12,0.5766744017601013
1619405479.4621987,13,0.3793858289718628
1619405485.305405,13,0.4731197953224182
1619405528.560155,13,0.4086584746837616
1619405531.5517855,13,0.4430236220359802
1619405577.7264786,14,0.45604509115219116
1619405604.477835,14,0.49206995964050293
1619405613.3097131,14,0.41986748576164246
1619405631.4500334,14,0.37523117661476135
1619405643.3876598,14,0.5287877917289734
1619405650.8627293,15,0.4505120813846588
1619405658.4178011,15,0.41388559341430664
1619405675.706534,15,0.34140682220458984
1619405718.907792,15,0.5539852380752563
1619405722.848359,15,0.39316487312316895
1619405743.3891795,16,0.47172310948371887
1619405761.303052,16,0.4723667502403259
1619405802.090247,16,0.35223591327667236
1619405808.1354606,16,0.4309723675251007
1619405834.1601064,17,0.5770211219787598
1619405836.6483724,17,0.35531604290008545
1619405866.2847097,17,0.40834271907806396
1619405889.1843724,17,0.37269824743270874
1619405925.9402225,18,0.4778556525707245
1619405934.3357656,18,0.6775501370429993
1619405981.1219964,18,0.4928699731826782
1619406003.5982704,19,0.4203077256679535
1619406004.2399538,19,0.22905059158802032
1619406007.4421084,19,0.31844809651374817
1619406014.4851015,19,0.4190400242805481
1619406071.551935,19,0.4419839084148407
1619406073.6367445,19,0.3308929204940796
1619406086.9067965,20,0.3940707743167877
1619406119.3444664,20,0.28801989555358887
1619406134.961518,20,0.37187135219573975
1619406158.6401033,20,0.3963765799999237
1619406173.2016027,21,0.34729060530662537
1619406202.4081004,21,0.35927560925483704
1619406203.445236,21,0.370929479598999
1619406205.3228295,21,0.4068622589111328
1619406230.1266253,21,0.5028137564659119
1619406232.2128787,21,0.3039798438549042
1619406251.6028275,21,0.4055328965187073
1619406314.3759513,22,0.2733559310436249
1619406324.773147,22,0.3091484308242798
1619406326.2284942,22,0.3998417854309082
1619406344.3384783,23,0.3523314595222473
1619406400.2379014,23,0.34997791051864624
1619406449.6624084,24,0.5237195491790771
1619406467.3215122,24,0.2872523367404938
1619406470.0458515,24,0.35986459255218506
1619406493.1233237,24,0.35844555497169495
1619406496.8737235,24,0.2966628968715668
1619406533.0388794,25,0.28513360023498535
1619406546.1704168,25,0.4291401505470276
1619406628.845094,26,0.330045223236084
1619406630.3338788,26,0.5617656111717224
1619406654.0001464,26,0.4106961190700531
1619406670.2780292,26,0.5842517614364624
1619406679.2276914,26,0.24810034036636353
1619406702.9302473,27,0.365433931350708
1619406712.7465844,27,0.38379907608032227
1619406733.772587,27,0.3822017312049866
1619406733.9828389,27,0.29532480239868164
1619406738.6670563,27,0.2103177309036255
1619406752.9252412,27,0.32335665822029114
1619406763.736956,27,0.47882774472236633
1619406764.3649945,27,0.29791122674942017
1619406772.2900739,27,0.3132193684577942
1619406783.1053786,28,0.33017224073410034
1619406784.765925,28,0.4282859265804291
1619406794.518382,28,0.37527257204055786
1619406811.5000837,28,0.31881827116012573
1619406815.3956609,28,0.41657328605651855
1619406883.3116791,29,0.35636937618255615
1619406894.224708,29,0.24972431361675262
1619406898.1620023,29,0.39432546496391296
1619406904.504895,29,0.3792952597141266
1619406906.3803504,29,0.4797375798225403
1619406913.448434,29,0.2837130129337311
1619406937.757806,29,0.3869742751121521
1619406959.2380724,30,0.22498959302902222
1619407002.610501,30,0.4158356189727783
1619407003.5776985,30,0.296874076128006
1619407043.3809073,31,0.31415224075317383
1619407048.814894,31,0.4088735580444336
1619407074.5839484,31,0.3604377210140228
1619407160.0135448,32,0.333708792924881
1619407202.446899,32,0.3813881278038025
1619407221.3396304,33,0.3460341691970825
1619407241.635246,33,0.4079737067222595
1619407246.984169,33,0.4225805699825287
1619407251.1829584,33,0.23577648401260376
1619407253.6570232,33,0.3060798943042755
1619407256.7651772,33,0.2806110978126526
1619407323.3877466,34,0.3009762465953827
1619407344.2172525,34,0.2675319314002991
1619407352.8774748,34,0.267194926738739
1619407363.1185758,34,0.4169716238975525
1619407367.9007442,34,0.36303049325942993
1619407380.1547031,34,0.25336217880249023
1619407413.499269,35,0.3903312087059021
1619407428.4003766,35,0.315345823764801
1619407475.369059,36,0.2596268355846405
1619407505.1060402,36,0.29535889625549316
1619407519.8514068,36,0.28668707609176636
1619407525.288924,36,0.4352923035621643
1619407528.9059258,36,0.28735753893852234
1619407540.942915,36,0.4555450975894928
1619407551.3353124,36,0.25983989238739014
1619407595.6726282,37,0.3213452696800232
1619407596.856402,37,0.3513442277908325
1619407603.018664,37,0.45169731974601746
1619407604.8973608,37,0.32404887676239014
1619407607.0021281,37,0.34890851378440857
1619407626.0294056,37,0.27010107040405273
1619407627.9076428,37,0.36856022477149963
1619407632.274974,37,0.31456995010375977
1619407651.5907304,38,0.36491966247558594
1619407655.529093,38,0.32305145263671875
1619407696.5832636,38,0.336742639541626
1619407714.886239,38,0.40327656269073486
1619407739.0560005,39,0.3140055239200592
1619407751.4455402,39,0.24446438252925873
1619407782.3881693,39,0.41321757435798645
1619407782.8067791,39,0.36477917432785034
1619407789.4707863,39,0.429862916469574
1619407843.5527124,40,0.36939629912376404
1619407848.5605166,40,0.24543523788452148
1619407895.4765055,40,0.32749971747398376
1619407922.6578832,41,0.32508546113967896
1619407927.0494065,41,0.16803550720214844
