Wall time,Step,Value
1621929984.0516179,0,2.503847599029541
1621929987.7511308,0,2.1108100414276123
1621929992.9513075,0,2.166893482208252
1621929997.374088,0,2.039625883102417
1621929997.731081,0,2.165208339691162
1621930000.5133805,0,2.024056911468506
1621930003.0070207,0,2.144789934158325
1621930003.1497118,0,2.165606737136841
1621930003.7198353,0,2.0198895931243896
1621930017.7908094,1,1.9415150880813599
1621930022.2390347,1,1.9426722526550293
1621930025.3155124,1,1.8016828298568726
1621930025.8163798,1,1.9451537132263184
1621930029.2527874,1,1.5753953456878662
1621930030.1859608,1,1.8290443420410156
1621930034.9848819,1,1.5116428136825562
1621930035.5591612,1,1.9388982057571411
1621930043.840422,2,1.9418282508850098
1621930045.8540156,2,2.0350146293640137
1621930058.6398056,2,1.5295878648757935
1621930062.3750496,2,1.3719221353530884
1621930065.1072626,2,1.498767375946045
1621930072.6200194,3,2.043231248855591
1621930078.4685464,3,1.9206377267837524
1621930083.0806074,3,1.4806503057479858
1621930083.489647,3,1.5557392835617065
1621930085.0380707,3,1.5902924537658691
1621930085.3250794,3,1.7306256294250488
1621930088.7690654,3,1.955336332321167
1621930089.2707932,3,1.8321014642715454
1621930092.430871,3,1.8527295589447021
1621930100.7590432,3,2.032956600189209
1621930112.8516116,4,1.8078147172927856
1621930115.9467127,4,1.2162529230117798
1621930116.1630561,4,1.725738525390625
1621930123.8983967,4,1.2843998670578003
1621930126.3931127,4,1.7625703811645508
1621930131.9895685,4,1.130800485610962
1621930153.4403226,5,1.5937931537628174
1621930163.6850884,5,1.4735379219055176
1621930178.797171,5,1.7706198692321777
1621930187.5615015,5,1.7907928228378296
1621930193.916012,5,1.7337710857391357
1621930215.0442932,6,1.7959551811218262
1621930225.5020995,6,1.6289427280426025
1621930236.3613079,6,1.0677977800369263
1621930236.5780628,6,1.26662015914917
1621930239.2589855,6,1.183511734008789
1621930246.8191307,6,1.3198589086532593
1621930280.4747493,6,1.756826400756836
1621930298.0717206,7,1.5435240268707275
1621930348.7007833,7,1.020391583442688
1621930364.0367765,7,1.560920238494873
1621930396.974046,8,1.675912857055664
1621930412.3266847,8,1.3778069019317627
1621930415.8731666,8,0.831413745880127
1621930416.0975661,8,1.0711382627487183
1621930429.024038,8,1.6669806241989136
1621930503.8360837,9,1.6671466827392578
1621930504.2868843,9,0.9454924464225769
1621930515.4709358,9,0.8765270113945007
1621930531.1466231,9,1.5223743915557861
1621930547.1192396,9,0.7762267589569092
1621930548.6825907,9,1.0463874340057373
1621930578.1545436,10,0.82627934217453
1621930584.3904908,10,0.8291662931442261
1621930602.2519326,10,0.9895696640014648
1621930616.0664752,10,0.9696536064147949
1621930637.492441,10,1.5816254615783691
1621930645.5260298,10,1.5780539512634277
1621930670.0689595,11,1.663171410560608
1621930688.5335236,11,1.3297452926635742
1621930708.7250402,11,1.6541355848312378
1621930712.3881981,11,1.6474528312683105
