Wall time,Step,Value
1621930189.9989371,0,39.22999954223633
1621930272.9503748,1,52.619998931884766
1621930360.2231567,2,60.130001068115234
1621930447.5607708,3,63.06999969482422
1621930535.154488,4,69.5999984741211
1621930622.360891,5,72.73999786376953
1621930709.7203412,6,76.23999786376953
1621930797.1707978,7,78.33000183105469
1621930884.59193,8,76.37000274658203
1621930971.8824413,9,82.69999694824219
1621931059.2720072,10,80.87999725341797
1621931146.5595386,11,79.73999786376953
1621931233.7727892,12,80.05999755859375
1621931321.049469,13,79.91000366210938
1621931408.3289866,14,71.8499984741211
1621931495.7383559,15,75.94000244140625
1621931583.22733,16,78.37999725341797
1621931670.5020769,17,69.06999969482422
1621931757.9649196,18,79.86000061035156
1621931845.3539383,19,81.7300033569336
1621931932.8876278,20,81.86000061035156
1621932020.5021677,21,81.20999908447266
1621932107.9804459,22,77.08999633789062
1621932195.5179687,23,82.44999694824219
1621932282.68036,24,82.66999816894531
1621932370.0472176,25,82.6500015258789
1621932457.521781,26,81.94000244140625
1621932545.0497055,27,84.19999694824219
1621932632.4631238,28,82.19000244140625
1621932719.8817036,29,85.06999969482422
1621932807.387529,30,85.66000366210938
1621932894.829189,31,81.88999938964844
1621932982.175331,32,81.56999969482422
1621933069.6502173,33,80.7300033569336
1621933156.9915767,34,83.37000274658203
1621933244.410362,35,81.18000030517578
1621933331.972974,36,81.9000015258789
1621933419.3264165,37,83.68000030517578
1621933506.8011355,38,86.91999816894531
1621933594.229414,39,82.80999755859375
1621933681.521184,40,84.4800033569336
1621933768.7641866,41,83.51000213623047
1621933856.1312048,42,86.08999633789062
1621933943.4760046,43,86.31999969482422
1621934030.9594233,44,85.8499984741211
1621934118.5446594,45,85.44000244140625
1621934205.7366557,46,86.4800033569336
1621934293.1948304,47,86.81999969482422
1621934380.5614536,48,81.3499984741211
1621934467.9140196,49,83.83999633789062
1621934555.1891174,50,86.16999816894531
1621934642.5775318,51,82.38999938964844
1621934730.0506508,52,82.58999633789062
1621934817.4125295,53,87.5999984741211
1621934904.9622965,54,82.38999938964844
1621934992.2664225,55,86.70999908447266
1621935079.5284002,56,84.1500015258789
1621935166.9945102,57,85.4800033569336
1621935254.342857,58,87.30000305175781
1621935341.8173878,59,83.75
1621935429.3549948,60,85.08000183105469
1621935516.7122247,61,85.66999816894531
1621935604.217798,62,88.19999694824219
1621935691.7007124,63,87.93000030517578
1621935779.0306215,64,82.6500015258789
1621935866.347014,65,84.47000122070312
1621935953.715905,66,87.97000122070312
1621936041.1670783,67,87.30999755859375
